		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS


network 1 (0)	 number of edges : 73
------------------------------

ADCY1 - AKAP9
ADCY3 - ADCY1
ADCY8 - AKAP9
CREB1 - ADCY1
CREB1 - ADCY8
GRIA2 - AKAP9
GRIA2 - CREB1
GRIA4 - AKAP9
GRIA4 - ADCY1
GRIA4 - ADCY3
GRIN2A - AKAP9
GRIN2A - ADCY3
GRIN2A - CREB1
GRIN2B - AKAP9
GRIN2B - ADCY3
GRIN2B - CREB1
GRIN2D - AKAP9
GRIN2D - ADCY1
GRIN2D - ADCY8
HRAS - AKAP9
HRAS - ADCY3
HRAS - CREB1
NEFL - AKAP9
NEFL - ADCY1
NEFL - ADCY3
PDPK1 - AKAP9
PDPK1 - ADCY1
PDPK1 - ADCY3
PRKACB - ADCY1
PRKACB - ADCY3
PRKACB - ADCY8
MAPK1 - AKAP9
MAPK1 - ADCY1
MAPK1 - ADCY3
RAF1 - AKAP9
RAF1 - ADCY1
RAF1 - ADCY3
RASGRF2 - AKAP9
RASGRF2 - ADCY1
RASGRF2 - ADCY3
RPS6KA1 - AKAP9
RPS6KA1 - ADCY1
RPS6KA1 - ADCY3
RPS6KA2 - ADCY1
RPS6KA2 - ADCY3
RPS6KA2 - ADCY8
RPS6KA3 - ADCY1
RPS6KA3 - ADCY8
RPS6KA3 - GRIA2
BRAF - ADCY1
BRAF - ADCY3
BRAF - ADCY8
CALM1 - ADCY1
CALM1 - ADCY3
CALM1 - ADCY8
CALM2 - ADCY1
CALM2 - ADCY8
CALM2 - GRIA2
CALM3 - AKAP9
CALM3 - ADCY1
CALM3 - ADCY3
CAMK4 - AKAP9
CAMK4 - ADCY1
CAMK4 - ADCY8
CAMK2A - AKAP9
CAMK2A - ADCY3
CAMK2A - CREB1
CAMK2D - ADCY1
CAMK2D - ADCY3
CAMK2D - ADCY8
CAMKK1 - AKAP9
CAMKK1 - ADCY1
CAMKK1 - ADCY3


network 2 (1)	 number of edges : 73
------------------------------

ADCY1 - AKAP9
ADCY3 - ADCY1
ADCY8 - AKAP9
CREB1 - ADCY1
CREB1 - ADCY8
GRIA2 - AKAP9
GRIA2 - CREB1
GRIA4 - AKAP9
GRIA4 - ADCY1
GRIA4 - ADCY3
GRIN2A - AKAP9
GRIN2A - ADCY3
GRIN2A - CREB1
GRIN2B - AKAP9
GRIN2B - ADCY3
GRIN2B - CREB1
GRIN2D - AKAP9
GRIN2D - ADCY1
GRIN2D - ADCY8
HRAS - AKAP9
HRAS - ADCY3
HRAS - CREB1
NEFL - AKAP9
NEFL - ADCY1
NEFL - ADCY3
PDPK1 - AKAP9
PDPK1 - ADCY1
PDPK1 - ADCY3
PRKACB - ADCY1
PRKACB - ADCY3
PRKACB - ADCY8
MAPK1 - AKAP9
MAPK1 - ADCY1
MAPK1 - ADCY3
RAF1 - AKAP9
RAF1 - ADCY1
RAF1 - ADCY3
RASGRF2 - AKAP9
