		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP


network 1 (0)	 number of edges : 34
------------------------------

EXOSC6 - EXOSC8
DCP2 - EXOSC6
DIS3 - EXOSC6
EXOSC7 - DCP2
EXOSC2 - DCP2
EXOSC2 - DIS3
TNPO1 - EXOSC6
TNPO1 - EXOSC7
TNPO1 - EXOSC2
EXOSC3 - EXOSC6
EXOSC1 - EXOSC6
EXOSC1 - DCP2
EXOSC1 - TNPO1
EXOSC9 - EXOSC6
XRN1 - EXOSC6
XRN1 - EXOSC2
EXOSC4 - EXOSC6
EXOSC4 - DCP2
EXOSC4 - EXOSC2
DCP1A - EXOSC8
DCP1A - DCP2
DCP1A - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DCP2
YWHAB - EXOSC8
YWHAB - EXOSC6
YWHAB - EXOSC2
ZFP36 - EXOSC8
ZFP36 - EXOSC6
ZFP36 - DCP2
MAPKAPK2 - EXOSC8
MAPKAPK2 - DCP2
MAPKAPK2 - DIS3


network 2 (1)	 number of edges : 35
------------------------------

EXOSC6 - EXOSC8
DCP2 - EXOSC6
DIS3 - EXOSC6
EXOSC7 - DCP2
EXOSC2 - DCP2
EXOSC2 - DIS3
TNPO1 - EXOSC6
TNPO1 - EXOSC7
TNPO1 - EXOSC2
EXOSC3 - EXOSC6
EXOSC1 - EXOSC6
EXOSC1 - DCP2
EXOSC1 - TNPO1
EXOSC9 - EXOSC6
XRN1 - EXOSC6
XRN1 - EXOSC2
XRN1 - EXOSC1
EXOSC4 - EXOSC6
EXOSC4 - DCP2
EXOSC4 - EXOSC2
DCP1A - EXOSC8
DCP1A - DCP2
DCP1A - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DCP2
YWHAB - EXOSC8
YWHAB - EXOSC6
YWHAB - EXOSC2
ZFP36 - EXOSC8
