		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS


network 1 (0)	 number of edges : 60
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - MGLL
DAGLB - DGKA
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - MGLL
PRKCH - DGKA
PRKCH - DGKB
PRKCQ - RASGRP2
PRKCQ - MGLL
PRKCQ - DGKA
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - MGLL
DGKE - DGKA
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


network 2 (1)	 number of edges : 60
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - MGLL
DAGLB - DGKA
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - MGLL
PRKCH - DGKA
PRKCH - DGKB
PRKCQ - MGLL
PRKCQ - DGKA
PRKCQ - DGKB
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - MGLL
DGKE - DGKA
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


network 3 (16)	 number of edges : 60
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - MGLL
DAGLB - DGKA
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - MGLL
PRKCH - DGKA
PRKCH - DGKB
PRKCQ - RASGRP2
PRKCQ - MGLL
PRKCQ - DGKA
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - DGKA
DGKE - DGKB
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


network 4 (172)	 number of edges : 60
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - MGLL
DAGLB - DGKA
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - MGLL
PRKCH - DGKA
PRKCH - DGKB
PRKCQ - MGLL
PRKCQ - DGKA
PRKCQ - DGKB
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - DGKA
DGKE - DGKB
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


network 5 (304)	 number of edges : 61
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - RASGRP2
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - RASGRP2
DAGLB - MGLL
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - RASGRP2
PRKCH - MGLL
PRKCH - DGKA
PRKCQ - RASGRP2
PRKCQ - MGLL
PRKCQ - DGKA
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - MGLL
DGKE - DGKA
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


network 6 (314)	 number of edges : 61
------------------------------

RASGRP2 - RASGRP1
MGLL - RASGRP1
MGLL - RASGRP2
DGKK - MGLL
DGKA - RASGRP1
DGKA - RASGRP2
DGKA - MGLL
DGKB - RASGRP1
DGKB - RASGRP2
DGKB - MGLL
DGKG - RASGRP1
DGKG - RASGRP2
DGKG - MGLL
DGKH - RASGRP2
DGKH - MGLL
DGKH - DGKA
DGKQ - RASGRP1
DGKQ - RASGRP2
DGKQ - MGLL
DAGLB - RASGRP1
DAGLB - RASGRP2
DAGLB - MGLL
ITPR2 - RASGRP1
ITPR2 - RASGRP2
ITPR2 - MGLL
ITPR3 - RASGRP1
ITPR3 - RASGRP2
ITPR3 - MGLL
PRKCD - RASGRP1
PRKCD - RASGRP2
PRKCD - MGLL
PRKCE - RASGRP1
PRKCE - RASGRP2
PRKCE - MGLL
PRKCH - RASGRP2
PRKCH - MGLL
PRKCH - DGKA
PRKCQ - RASGRP2
PRKCQ - MGLL
PRKCQ - DGKB
TRPC7 - RASGRP1
TRPC7 - RASGRP2
TRPC7 - MGLL
TRPC3 - RASGRP1
TRPC3 - RASGRP2
TRPC3 - MGLL
TRPC6 - RASGRP1
TRPC6 - RASGRP2
TRPC6 - MGLL
DAGLA - RASGRP1
DAGLA - RASGRP2
DAGLA - MGLL
DGKE - RASGRP2
DGKE - MGLL
DGKE - DGKA
DGKD - RASGRP1
DGKD - RASGRP2
DGKD - MGLL
DGKI - RASGRP1
DGKI - RASGRP2
DGKI - MGLL


