		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE


network 1 (0)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F5
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F5
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 2 (4)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F5
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F5
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F7
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 3 (5)	 number of edges : 79
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F9
F12 - F2
F12 - F3
F12 - F5
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F5
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 4 (7)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F5
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F5
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F11
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 5 (16)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F5
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F8
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 6 (35)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F7
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F5
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
THBD - F5
C1QBP - F2
C1QBP - F3
C1QBP - F5
VWF - F2
VWF - F3
VWF - F5


network 7 (49)	 number of edges : 80
------------------------------

F3 - F2
F5 - F2
F5 - F3
F7 - F3
F7 - F5
F8 - F2
F8 - F3
F8 - F5
F9 - F2
F9 - F3
F9 - F5
F10 - F3
F10 - F5
F10 - F8
F11 - F5
F11 - F7
F11 - F9
F12 - F2
F12 - F3
F12 - F7
F13A1 - F2
F13A1 - F3
F13A1 - F5
F13B - F2
F13B - F3
F13B - F5
FGA - F2
FGA - F3
FGA - F5
FGB - F2
FGB - F3
FGB - F7
FGG - F2
FGG - F3
FGG - F7
GP1BA - F2
GP1BA - F3
GP1BA - F8
GP1BB - F2
GP1BB - F3
GP1BB - F8
GP5 - F2
GP5 - F3
GP5 - F7
KLKB1 - F3
KLKB1 - F8
KLKB1 - F12
KNG1 - F3
KNG1 - F5
KNG1 - F9
SERPINC1 - F2
SERPINC1 - F3
SERPINC1 - F5
PF4 - F2
PF4 - F3
PF4 - F5
PF4V1 - F2
PF4V1 - F3
PF4V1 - F7
PRCP - F2
PRCP - F3
PRCP - F5
PROC - F2
PROC - F3
PROC - F5
PROS1 - F2
PROS1 - F3
PROS1 - F5
TFPI - F2
TFPI - F3
TFPI - F5
THBD - F2
THBD - F3
