		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_HS_GAG_DEGRADATION


network 1 (0)	 number of edges : 45
------------------------------

HPSE - GPC6
GPC2 - GPC6
GPC2 - HPSE
GPC5 - GPC6
GPC5 - HPSE
GPC5 - GPC2
GPC3 - HPSE
GPC3 - GPC2
GPC3 - GPC5
GLB1 - GPC6
GLB1 - HPSE
GLB1 - GPC2
GUSB - GPC6
GUSB - HPSE
GUSB - GPC2
IDS - GPC6
IDS - GPC2
IDS - GPC5
IDUA - HPSE
IDUA - GPC2
IDUA - GLB1
AGRN - GPC6
AGRN - HPSE
AGRN - GPC5
NAGLU - GPC6
NAGLU - HPSE
NAGLU - GPC2
HPSE2 - GPC6
HPSE2 - HPSE
HPSE2 - GPC2
SDC1 - HPSE
SDC1 - GPC2
SDC1 - GPC5
SDC2 - GPC6
SDC2 - HPSE
SDC2 - GPC2
SDC4 - GPC6
SDC4 - HPSE
SDC4 - GPC2
SGSH - GPC6
SGSH - HPSE
SGSH - GPC2
SDC3 - GPC6
SDC3 - HPSE
SDC3 - GPC5


network 2 (1)	 number of edges : 45
------------------------------

HPSE - GPC6
GPC2 - GPC6
GPC2 - HPSE
GPC5 - GPC6
GPC5 - HPSE
GPC5 - GPC2
GPC3 - HPSE
GPC3 - GPC2
GPC3 - GPC5
GLB1 - GPC6
GLB1 - HPSE
GLB1 - GPC2
GUSB - GPC6
GUSB - HPSE
GUSB - GPC2
IDS - GPC6
IDS - GPC2
IDS - GPC5
IDUA - HPSE
IDUA - GPC2
IDUA - GLB1
AGRN - GPC6
AGRN - HPSE
AGRN - GPC5
NAGLU - GPC6
NAGLU - HPSE
NAGLU - GPC2
HPSE2 - HPSE
HPSE2 - GPC2
HPSE2 - GPC5
SDC1 - HPSE
SDC1 - GPC2
SDC1 - GPC5
SDC2 - GPC6
SDC2 - HPSE
SDC2 - GPC2
SDC4 - GPC6
SDC4 - HPSE
SDC4 - GPC2
SGSH - GPC6
SGSH - HPSE
SGSH - GPC2
SDC3 - GPC6
SDC3 - HPSE
SDC3 - GPC5


network 3 (304)	 number of edges : 45
------------------------------

HPSE - GPC6
GPC2 - GPC6
GPC2 - HPSE
GPC5 - GPC6
GPC5 - HPSE
GPC5 - GPC2
GPC3 - GPC6
GPC3 - HPSE
GPC3 - GPC2
GLB1 - GPC6
GLB1 - HPSE
GLB1 - GPC2
GUSB - GPC6
GUSB - HPSE
GUSB - GPC2
IDS - GPC6
IDS - HPSE
IDS - GPC2
IDUA - HPSE
IDUA - GPC2
IDUA - GPC3
AGRN - GPC6
AGRN - HPSE
AGRN - GPC5
NAGLU - GPC6
NAGLU - HPSE
NAGLU - GPC2
HPSE2 - GPC2
HPSE2 - GPC5
HPSE2 - GPC3
SDC1 - HPSE
SDC1 - GPC2
SDC1 - GPC5
SDC2 - GPC6
SDC2 - HPSE
SDC2 - GPC2
SDC4 - GPC6
SDC4 - HPSE
SDC4 - GPC2
SGSH - HPSE
SGSH - GPC2
SGSH - GPC5
SDC3 - HPSE
SDC3 - GPC5
SDC3 - GPC3


network 4 (306)	 number of edges : 45
------------------------------

HPSE - GPC6
GPC2 - GPC6
GPC2 - HPSE
GPC5 - GPC6
GPC5 - HPSE
GPC5 - GPC2
GPC3 - GPC6
GPC3 - HPSE
GPC3 - GPC2
GLB1 - GPC6
GLB1 - HPSE
GLB1 - GPC2
GUSB - GPC6
GUSB - HPSE
GUSB - GPC2
IDS - GPC6
IDS - HPSE
IDS - GPC2
IDUA - HPSE
IDUA - GPC2
IDUA - GPC5
AGRN - GPC6
AGRN - HPSE
AGRN - GPC5
NAGLU - GPC6
NAGLU - HPSE
NAGLU - GPC2
HPSE2 - GPC2
HPSE2 - GPC5
HPSE2 - GPC3
SDC1 - HPSE
SDC1 - GPC2
SDC1 - GPC5
SDC2 - GPC6
SDC2 - HPSE
SDC2 - GPC2
SDC4 - GPC6
SDC4 - HPSE
SDC4 - GPC2
SGSH - HPSE
SGSH - GPC2
SGSH - GPC5
SDC3 - HPSE
