		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS


network 1 (0)	 number of edges : 41
------------------------------

KCNQ3 - ANK1
KCNQ3 - ANK3
NRCAM - ANK1
NRCAM - ANK3
NRCAM - KCNQ3
SPTBN5 - ANK1
SPTBN5 - ANK3
SPTBN5 - KCNQ3
SCN3B - ANK1
SCN3B - ANK3
SCN3B - NRCAM
SPTBN4 - ANK1
SPTBN4 - ANK3
SPTBN4 - NRCAM
SCN1B - ANK1
SCN1B - ANK3
SCN1B - KCNQ3
SCN2A - ANK1
SCN2A - ANK3
SCN2A - KCNQ3
SCN2B - ANK1
SCN2B - ANK3
SCN2B - NRCAM
SCN7A - ANK1
SCN7A - ANK3
SCN7A - KCNQ3
SCN8A - ANK1
SCN8A - ANK3
SCN8A - KCNQ3
SPTA1 - ANK1
SPTA1 - ANK3
SPTA1 - KCNQ3
SPTAN1 - ANK1
SPTAN1 - ANK3
SPTAN1 - KCNQ3
SPTB - ANK3
SPTB - KCNQ3
SPTB - NRCAM
SPTBN1 - ANK1
SPTBN1 - ANK3
SPTBN1 - KCNQ3


network 2 (7)	 number of edges : 41
------------------------------

KCNQ3 - ANK1
KCNQ3 - ANK3
NRCAM - ANK1
NRCAM - ANK3
NRCAM - KCNQ3
SPTBN5 - ANK1
SPTBN5 - ANK3
SPTBN5 - KCNQ3
SCN3B - ANK1
SCN3B - ANK3
SCN3B - KCNQ3
SPTBN4 - ANK1
SPTBN4 - ANK3
SPTBN4 - NRCAM
SCN1B - ANK1
SCN1B - ANK3
SCN1B - KCNQ3
SCN2A - ANK1
SCN2A - ANK3
SCN2A - KCNQ3
SCN2B - ANK1
SCN2B - ANK3
SCN2B - NRCAM
SCN7A - ANK1
SCN7A - ANK3
SCN7A - KCNQ3
SCN8A - ANK1
SCN8A - ANK3
SCN8A - KCNQ3
SPTA1 - ANK1
SPTA1 - ANK3
SPTA1 - KCNQ3
SPTAN1 - ANK1
SPTAN1 - ANK3
SPTAN1 - KCNQ3
SPTB - ANK3
SPTB - KCNQ3
SPTB - NRCAM
SPTBN1 - ANK1
SPTBN1 - ANK3
SPTBN1 - KCNQ3


network 3 (308)	 number of edges : 41
------------------------------

KCNQ3 - ANK1
KCNQ3 - ANK3
NRCAM - ANK1
NRCAM - ANK3
NRCAM - KCNQ3
SPTBN5 - ANK1
SPTBN5 - ANK3
SPTBN5 - KCNQ3
SCN3B - ANK1
SCN3B - ANK3
SCN3B - NRCAM
SPTBN4 - ANK1
SPTBN4 - ANK3
SPTBN4 - NRCAM
SCN1B - ANK1
SCN1B - ANK3
SCN1B - KCNQ3
SCN2A - ANK1
SCN2A - ANK3
SCN2A - KCNQ3
SCN2B - ANK1
SCN2B - ANK3
SCN2B - NRCAM
SCN7A - ANK1
SCN7A - ANK3
SCN7A - KCNQ3
SCN8A - ANK1
SCN8A - ANK3
SCN8A - KCNQ3
SPTA1 - ANK1
SPTA1 - ANK3
SPTA1 - KCNQ3
SPTAN1 - ANK1
SPTAN1 - ANK3
SPTAN1 - KCNQ3
SPTB - ANK1
SPTB - ANK3
SPTB - KCNQ3
SPTBN1 - ANK1
SPTBN1 - ANK3
SPTBN1 - KCNQ3


network 4 (316)	 number of edges : 42
------------------------------

ANK3 - ANK1
KCNQ3 - ANK1
KCNQ3 - ANK3
NRCAM - ANK1
NRCAM - ANK3
NRCAM - KCNQ3
SPTBN5 - ANK1
SPTBN5 - ANK3
SPTBN5 - KCNQ3
SCN3B - ANK1
SCN3B - ANK3
SCN3B - NRCAM
SPTBN4 - ANK1
SPTBN4 - ANK3
SPTBN4 - NRCAM
SCN1B - ANK1
SCN1B - ANK3
SCN1B - KCNQ3
SCN2A - ANK1
SCN2A - ANK3
SCN2A - KCNQ3
SCN2B - ANK1
SCN2B - ANK3
SCN2B - NRCAM
SCN7A - ANK1
SCN7A - ANK3
SCN7A - KCNQ3
SCN8A - ANK1
SCN8A - ANK3
SCN8A - KCNQ3
SPTA1 - ANK1
SPTA1 - ANK3
SPTA1 - KCNQ3
SPTAN1 - ANK1
SPTAN1 - ANK3
SPTAN1 - KCNQ3
SPTB - ANK3
SPTB - KCNQ3
SPTB - NRCAM
SPTBN1 - ANK1
SPTBN1 - ANK3
SPTBN1 - KCNQ3


network 5 (328)	 number of edges : 42
------------------------------

ANK3 - ANK1
KCNQ3 - ANK1
KCNQ3 - ANK3
NRCAM - ANK1
NRCAM - ANK3
NRCAM - KCNQ3
SPTBN5 - ANK1
SPTBN5 - ANK3
SPTBN5 - KCNQ3
SCN3B - ANK1
SCN3B - ANK3
SCN3B - NRCAM
SPTBN4 - ANK1
SPTBN4 - ANK3
SPTBN4 - NRCAM
SCN1B - ANK1
SCN1B - ANK3
SCN1B - KCNQ3
SCN2A - ANK1
SCN2A - ANK3
SCN2A - KCNQ3
SCN2B - ANK1
SCN2B - ANK3
SCN2B - NRCAM
SCN7A - ANK1
SCN7A - ANK3
SCN7A - KCNQ3
SCN8A - ANK1
SCN8A - ANK3
SCN8A - KCNQ3
SPTA1 - ANK1
SPTA1 - ANK3
SPTA1 - KCNQ3
SPTAN1 - ANK1
SPTAN1 - ANK3
SPTAN1 - KCNQ3
SPTB - ANK1
SPTB - ANK3
SPTB - KCNQ3
SPTBN1 - ANK1
SPTBN1 - ANK3
SPTBN1 - KCNQ3


