		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE


network 1 (0)	 number of edges : 18
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
EXOSC2 - DIS3
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC2
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - EXOSC6
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - DCPS
EXOSC4 - EXOSC6
EXOSC4 - EXOSC2
EXOSC4 - DCPS
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


network 2 (9)	 number of edges : 17
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC2
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - EXOSC6
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - DCPS
EXOSC4 - EXOSC6
EXOSC4 - EXOSC2
EXOSC4 - DCPS
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


network 3 (304)	 number of edges : 20
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
EXOSC7 - EXOSC8
EXOSC7 - EXOSC6
EXOSC7 - DIS3
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC7
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - EXOSC7
EXOSC9 - EXOSC2
EXOSC4 - EXOSC8
EXOSC4 - EXOSC6
EXOSC4 - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


network 4 (306)	 number of edges : 19
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
EXOSC7 - EXOSC8
EXOSC7 - EXOSC6
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC7
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - EXOSC7
EXOSC9 - EXOSC2
EXOSC4 - EXOSC8
EXOSC4 - EXOSC6
EXOSC4 - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


network 5 (316)	 number of edges : 19
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
EXOSC7 - EXOSC8
EXOSC7 - DIS3
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC7
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - EXOSC7
EXOSC9 - EXOSC2
EXOSC4 - EXOSC8
EXOSC4 - EXOSC6
EXOSC4 - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


network 6 (334)	 number of edges : 18
------------------------------

EXOSC6 - EXOSC8
DIS3 - EXOSC6
EXOSC7 - EXOSC8
DCPS - EXOSC8
DCPS - DIS3
DCPS - EXOSC7
EXOSC3 - EXOSC6
EXOSC3 - DCPS
EXOSC1 - DCPS
EXOSC9 - EXOSC6
EXOSC9 - EXOSC7
EXOSC9 - EXOSC2
EXOSC4 - EXOSC8
EXOSC4 - EXOSC6
EXOSC4 - DIS3
EXOSC5 - EXOSC8
EXOSC5 - EXOSC6
EXOSC5 - DIS3


