		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_MUSCLE_CONTRACTION


network 1 (0)	 number of edges : 111
------------------------------

MYL12B - SORBS3
SORBS1 - SORBS3
SORBS1 - MYL12B
MYL6B - SORBS3
MYL6B - MYL12B
MYL6B - SORBS1
DES - SORBS3
DES - MYL12B
DES - SORBS1
DMD - SORBS3
DMD - MYL12B
DMD - SORBS1
LMOD1 - SORBS3
LMOD1 - MYL12B
LMOD1 - SORBS1
ITGA1 - SORBS3
ITGA1 - MYL12B
ITGA1 - SORBS1
ITGB5 - SORBS3
ITGB5 - MYL12B
ITGB5 - SORBS1
MYBPC1 - SORBS3
MYBPC1 - MYL12B
MYBPC1 - SORBS1
MYBPC2 - SORBS3
MYBPC2 - MYL12B
MYBPC2 - SORBS1
MYH3 - SORBS3
MYH3 - SORBS1
MYH3 - MYL6B
MYH8 - SORBS3
MYH8 - MYL12B
MYH8 - SORBS1
MYL1 - SORBS3
MYL1 - MYL12B
MYL1 - SORBS1
MYL2 - MYL12B
MYL2 - SORBS1
MYL2 - MYL6B
MYL3 - SORBS3
MYL3 - MYL12B
MYL3 - SORBS1
MYL6 - SORBS3
MYL6 - SORBS1
MYL6 - MYL6B
MYLK - SORBS3
MYLK - MYL12B
MYLK - SORBS1
NEB - SORBS3
NEB - SORBS1
NEB - MYL6B
ACTA2 - SORBS3
ACTA2 - MYL12B
ACTA2 - MYL6B
TLN1 - SORBS3
TLN1 - MYL12B
TLN1 - SORBS1
TMOD1 - SORBS3
TMOD1 - MYL6B
TMOD1 - DES
TNNC2 - MYL12B
TNNC2 - SORBS1
TNNC2 - MYL6B
TNNC1 - SORBS3
TNNC1 - MYL12B
TNNC1 - SORBS1
TNNI1 - SORBS3
TNNI1 - MYL12B
TNNI1 - SORBS1
TNNI2 - SORBS3
TNNI2 - MYL12B
TNNI2 - SORBS1
TNNI3 - SORBS3
TNNI3 - MYL12B
TNNI3 - SORBS1
TNNT1 - SORBS3
TNNT1 - MYL12B
TNNT1 - SORBS1
TPM1 - SORBS3
TPM1 - MYL12B
TPM1 - SORBS1
TPM2 - SORBS3
TPM2 - MYL12B
TPM2 - SORBS1
TPM3 - SORBS3
TPM3 - MYL12B
TPM3 - SORBS1
TPM4 - SORBS3
TPM4 - MYL12B
TPM4 - SORBS1
ACTG2 - SORBS3
ACTG2 - MYL12B
ACTG2 - SORBS1
VCL - SORBS3
VCL - MYL12B
VCL - SORBS1
VIM - SORBS3
VIM - MYL12B
VIM - SORBS1
CALD1 - SORBS3
CALD1 - MYL12B
CALD1 - SORBS1
CALM1 - SORBS3
CALM1 - MYL12B
CALM1 - SORBS1
CALM2 - SORBS3
CALM2 - SORBS1
CALM2 - MYL6B
CALM3 - SORBS3
CALM3 - MYL12B
CALM3 - SORBS1


network 2 (2)	 number of edges : 111
------------------------------

MYL12B - SORBS3
SORBS1 - SORBS3
SORBS1 - MYL12B
MYL6B - SORBS3
MYL6B - MYL12B
MYL6B - SORBS1
DES - SORBS3
DES - MYL12B
DES - SORBS1
DMD - SORBS3
DMD - MYL12B
DMD - SORBS1
LMOD1 - SORBS3
LMOD1 - MYL12B
LMOD1 - SORBS1
ITGA1 - SORBS3
ITGA1 - MYL12B
ITGA1 - SORBS1
ITGB5 - SORBS3
ITGB5 - MYL12B
ITGB5 - SORBS1
MYBPC1 - SORBS3
MYBPC1 - MYL12B
MYBPC1 - SORBS1
MYBPC2 - SORBS3
MYBPC2 - MYL12B
MYBPC2 - SORBS1
MYH3 - SORBS3
MYH3 - SORBS1
MYH3 - MYL6B
MYH8 - SORBS3
MYH8 - MYL12B
MYH8 - SORBS1
MYL1 - SORBS3
MYL1 - MYL12B
MYL1 - SORBS1
MYL2 - SORBS3
MYL2 - MYL12B
MYL2 - SORBS1
MYL3 - SORBS3
MYL3 - MYL12B
MYL3 - SORBS1
MYL6 - SORBS3
MYL6 - SORBS1
MYL6 - MYL6B
MYLK - SORBS3
MYLK - MYL12B
MYLK - SORBS1
NEB - SORBS3
NEB - SORBS1
