		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING


network 1 (0)	 number of edges : 93
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF1 - KLB
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS2
FGF3 - KLB
FGF3 - FGF2
FGF4 - FRS2
FGF4 - KLB
FGF4 - FGF2
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS2
FGF10 - KLB
FGF10 - FGF1
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF1
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - KLB
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - KLB
MAPK1 - FGF1
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - KLB
BRAF - FGF1
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - FRS2
FGF18 - KLB
FGF18 - FGF1
FGF17 - FRS2
FGF17 - KLB
FGF17 - FGF2
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - FRS2
FGF19 - KLB
FGF19 - FGF2


network 2 (28)	 number of edges : 93
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF1 - KLB
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS2
FGF3 - KLB
FGF3 - FGF2
FGF4 - FRS2
FGF4 - KLB
FGF4 - FGF2
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS2
FGF10 - KLB
FGF10 - FGF1
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF1
FGF20 - FRS2
FGF20 - KLB
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - KLB
MAPK1 - FGF1
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - KLB
BRAF - FGF1
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - FRS2
FGF18 - KLB
FGF18 - FGF1
FGF17 - FRS2
FGF17 - KLB
FGF17 - FGF2
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - FRS2
FGF19 - KLB
FGF19 - FGF2


network 3 (30)	 number of edges : 93
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF1 - KLB
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS2
FGF3 - KLB
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS2
FGF10 - KLB
FGF10 - FGF1
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF1
FGF20 - FRS2
FGF20 - KLB
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - KLB
MAPK1 - FGF1
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - KLB
BRAF - FGF1
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - FRS2
FGF18 - KLB
FGF18 - FGF1
FGF17 - FRS2
FGF17 - KLB
FGF17 - FGF2
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - FRS2
FGF19 - KLB
FGF19 - FGF2


network 4 (304)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - SPRY2
FGF18 - FRS2
FGF18 - KLB
FGF17 - SPRY2
FGF17 - FRS2
FGF17 - KLB
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - SPRY2
FGF19 - FRS2
FGF19 - KLB


network 5 (305)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - SPRY2
FGF18 - FRS2
FGF18 - KLB
FGF17 - SPRY2
FGF17 - FRS2
FGF17 - KLB
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - SPRY2
FGF19 - FRS2
FGF19 - FGF2


network 6 (306)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - FRS2
FGF18 - KLB
FGF18 - FGF2
FGF17 - SPRY2
FGF17 - FRS2
FGF17 - KLB
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - SPRY2
FGF19 - FRS2
FGF19 - KLB


network 7 (331)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - SPRY2
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS2
FGF17 - KLB
FGF17 - FGF2
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - SPRY2
FGF19 - FRS2
FGF19 - KLB


network 8 (333)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
CBL - KLB
FGF18 - FRS2
FGF18 - KLB
FGF18 - FGF2
FGF17 - FRS2
FGF17 - KLB
FGF17 - FGF2
KL - SPRY2
KL - FRS2
KL - KLB
FGF19 - FRS2
FGF19 - KLB
FGF19 - FGF2


network 9 (403)	 number of edges : 92
------------------------------

FRS2 - SPRY2
KLB - SPRY2
KLB - FRS2
FGF1 - SPRY2
FGF1 - FRS2
FGF2 - SPRY2
FGF2 - FRS2
FGF2 - KLB
FGF3 - SPRY2
FGF3 - FRS2
FGF3 - FGF2
FGF4 - SPRY2
FGF4 - FRS2
FGF4 - KLB
FGF5 - SPRY2
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - SPRY2
FGF7 - FRS2
FGF7 - KLB
FGF8 - SPRY2
FGF8 - FRS2
FGF8 - KLB
FGF9 - SPRY2
FGF9 - FRS2
FGF9 - KLB
FGF10 - SPRY2
FGF10 - FRS2
FGF10 - KLB
FGFR1 - SPRY2
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - SPRY2
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - SPRY2
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - SPRY2
FGF20 - FRS2
FGF20 - FGF2
GRB2 - SPRY2
GRB2 - FRS2
GRB2 - KLB
PPP2CA - SPRY2
PPP2CA - KLB
PPP2CA - FGF1
PPP2CB - SPRY2
PPP2CB - KLB
PPP2CB - FGF1
PPP2R1A - SPRY2
PPP2R1A - FRS2
PPP2R1A - KLB
MAPK1 - SPRY2
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - SPRY2
MAPK3 - FRS2
MAPK3 - KLB
RPS27A - SPRY2
RPS27A - FRS2
RPS27A - KLB
SRC - SPRY2
SRC - FRS2
SRC - KLB
BRAF - SPRY2
BRAF - FRS2
BRAF - KLB
FGF23 - SPRY2
FGF23 - FRS2
FGF23 - KLB
MKNK1 - SPRY2
MKNK1 - FRS2
MKNK1 - KLB
CBL - SPRY2
CBL - FRS2
