		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_REGULATION_OF_IFNA_SIGNALING


network 1 (0)	 number of edges : 64
------------------------------

IFNA1 - USP18
IFNA2 - IFNA1
IFNA4 - IFNA1
IFNA4 - IFNA2
IFNA5 - USP18
IFNA5 - IFNA1
IFNA5 - IFNA2
IFNA6 - IFNA1
IFNA6 - IFNA2
IFNA6 - IFNA4
IFNA7 - IFNA1
IFNA7 - IFNA2
IFNA7 - IFNA4
IFNA8 - IFNA1
IFNA8 - IFNA2
IFNA8 - IFNA4
IFNA10 - IFNA1
IFNA10 - IFNA2
IFNA10 - IFNA4
IFNA14 - IFNA1
IFNA14 - IFNA2
IFNA14 - IFNA4
IFNA16 - IFNA1
IFNA16 - IFNA2
IFNA16 - IFNA4
IFNA17 - IFNA1
IFNA17 - IFNA2
IFNA17 - IFNA4
IFNA21 - IFNA1
IFNA21 - IFNA2
IFNA21 - IFNA4
IFNAR1 - USP18
IFNAR1 - IFNA1
IFNAR1 - IFNA2
IFNAR2 - USP18
IFNAR2 - IFNA1
IFNAR2 - IFNA2
IFNB1 - USP18
IFNB1 - IFNA1
IFNB1 - IFNA2
JAK1 - USP18
JAK1 - IFNA1
JAK1 - IFNA2
PTPN1 - USP18
PTPN1 - IFNA1
PTPN1 - IFNA2
PTPN6 - USP18
PTPN6 - IFNA1
PTPN6 - IFNA2
STAT1 - USP18
STAT1 - IFNA1
STAT1 - IFNA2
STAT2 - USP18
STAT2 - IFNA1
STAT2 - IFNA2
TYK2 - USP18
TYK2 - IFNA1
TYK2 - IFNA2
SOCS1 - USP18
SOCS1 - IFNA1
SOCS1 - IFNA2
SOCS3 - IFNA1
SOCS3 - IFNA2
SOCS3 - IFNA4


network 2 (304)	 number of edges : 63
------------------------------

IFNA2 - IFNA1
IFNA4 - IFNA1
IFNA4 - IFNA2
IFNA5 - IFNA1
IFNA5 - IFNA2
IFNA5 - IFNA4
IFNA6 - IFNA1
IFNA6 - IFNA2
IFNA6 - IFNA4
IFNA7 - IFNA1
IFNA7 - IFNA2
IFNA7 - IFNA4
IFNA8 - IFNA1
IFNA8 - IFNA2
IFNA8 - IFNA4
IFNA10 - IFNA1
IFNA10 - IFNA2
IFNA10 - IFNA4
IFNA14 - IFNA1
IFNA14 - IFNA2
IFNA14 - IFNA4
IFNA16 - USP18
IFNA16 - IFNA1
IFNA16 - IFNA2
IFNA17 - USP18
IFNA17 - IFNA1
IFNA17 - IFNA2
IFNA21 - IFNA1
IFNA21 - IFNA2
IFNA21 - IFNA4
IFNAR1 - USP18
IFNAR1 - IFNA1
IFNAR1 - IFNA2
IFNAR2 - USP18
IFNAR2 - IFNA1
IFNAR2 - IFNA2
IFNB1 - IFNA1
IFNB1 - IFNA2
IFNB1 - IFNA4
JAK1 - USP18
JAK1 - IFNA1
JAK1 - IFNA2
PTPN1 - USP18
PTPN1 - IFNA1
PTPN1 - IFNA2
PTPN6 - IFNA1
PTPN6 - IFNA2
PTPN6 - IFNA4
STAT1 - USP18
STAT1 - IFNA1
STAT1 - IFNA2
STAT2 - USP18
STAT2 - IFNA1
STAT2 - IFNA2
TYK2 - IFNA1
TYK2 - IFNA2
TYK2 - IFNA4
SOCS1 - USP18
SOCS1 - IFNA1
SOCS1 - IFNA2
SOCS3 - USP18
SOCS3 - IFNA1
SOCS3 - IFNA2


network 3 (317)	 number of edges : 64
------------------------------

IFNA1 - USP18
IFNA2 - IFNA1
IFNA4 - IFNA1
IFNA4 - IFNA2
IFNA5 - IFNA1
IFNA5 - IFNA2
IFNA5 - IFNA4
IFNA6 - IFNA1
IFNA6 - IFNA2
IFNA6 - IFNA4
IFNA7 - IFNA1
IFNA7 - IFNA2
IFNA7 - IFNA4
IFNA8 - IFNA1
IFNA8 - IFNA2
IFNA8 - IFNA4
IFNA10 - IFNA1
IFNA10 - IFNA2
IFNA10 - IFNA4
IFNA14 - IFNA1
IFNA14 - IFNA2
IFNA14 - IFNA4
IFNA16 - USP18
IFNA16 - IFNA1
IFNA16 - IFNA2
IFNA17 - USP18
IFNA17 - IFNA1
IFNA17 - IFNA2
IFNA21 - IFNA1
IFNA21 - IFNA2
IFNA21 - IFNA4
IFNAR1 - USP18
IFNAR1 - IFNA1
IFNAR1 - IFNA2
IFNAR2 - USP18
IFNAR2 - IFNA1
IFNAR2 - IFNA2
IFNB1 - IFNA1
IFNB1 - IFNA2
IFNB1 - IFNA4
JAK1 - USP18
JAK1 - IFNA1
JAK1 - IFNA2
PTPN1 - USP18
PTPN1 - IFNA1
PTPN1 - IFNA2
PTPN6 - IFNA1
PTPN6 - IFNA2
PTPN6 - IFNA4
STAT1 - USP18
STAT1 - IFNA1
STAT1 - IFNA2
STAT2 - USP18
STAT2 - IFNA1
STAT2 - IFNA2
TYK2 - IFNA1
TYK2 - IFNA2
TYK2 - IFNA4
SOCS1 - USP18
SOCS1 - IFNA1
SOCS1 - IFNA2
SOCS3 - USP18
SOCS3 - IFNA1
SOCS3 - IFNA2


