		 BDEU SCORES
input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN

Network 	  GBApPD  	   	    GBApUnaffected
Network 1	 0.801500 	 0.301138 
Network 2	 0.075989 	 0.281898 
Network 3	 0.002850 	 0.000172 
Network 4	 0.000384 	 0.000016 
Network 5	 0.107943 	 0.028491 
Network 6	 0.010234 	 0.026671 
Network 7	 0.000036 	 0.000015 
Network 8	 0.000270 	 0.000161 
Network 9	 0.000050 	 0.026856 
Network 10	 0.000744 	 0.334583 
