		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN


network 1 (0)	 number of edges : 29
------------------------------

GCG - SEC11A
GH1 - GCG
SPCS1 - GCG
INS - GCG
INS - GH1
PCSK1 - GCG
PCSK1 - GH1
PCSK1 - INS
GHRL - SEC11A
GHRL - GCG
GHRL - GH1
BCHE - GCG
BCHE - GH1
BCHE - INS
SPCS3 - SEC11A
SPCS3 - GCG
SPCS3 - GH1
MBOAT4 - GCG
MBOAT4 - GH1
MBOAT4 - INS
PLA2G7 - SEC11A
PLA2G7 - SPCS1
PLA2G7 - GHRL
SEC11C - GCG
SEC11C - GH1
SEC11C - SPCS1
KLF4 - SEC11A
KLF4 - SPCS1
KLF4 - INS


network 2 (4)	 number of edges : 29
------------------------------

GCG - SEC11A
GH1 - GCG
SPCS1 - GCG
INS - GCG
INS - GH1
PCSK1 - GCG
PCSK1 - GH1
PCSK1 - INS
GHRL - SEC11A
GHRL - GCG
GHRL - GH1
BCHE - GCG
BCHE - GH1
BCHE - INS
SPCS3 - SEC11A
SPCS3 - GCG
SPCS3 - GH1
MBOAT4 - GCG
MBOAT4 - GH1
MBOAT4 - INS
PLA2G7 - SEC11A
PLA2G7 - SPCS1
PLA2G7 - GHRL
SEC11C - GCG
SEC11C - GH1
SEC11C - SPCS1
KLF4 - SEC11A
KLF4 - GCG
KLF4 - SPCS1


network 3 (7)	 number of edges : 29
------------------------------

GCG - SEC11A
GH1 - GCG
SPCS1 - GCG
INS - GCG
INS - GH1
PCSK1 - GCG
PCSK1 - GH1
PCSK1 - INS
GHRL - SEC11A
GHRL - GCG
GHRL - GH1
BCHE - GCG
BCHE - GH1
BCHE - INS
SPCS3 - SEC11A
SPCS3 - GCG
SPCS3 - GH1
MBOAT4 - GCG
MBOAT4 - GH1
MBOAT4 - INS
PLA2G7 - SEC11A
PLA2G7 - SPCS1
PLA2G7 - GHRL
SEC11C - GCG
SEC11C - GH1
SEC11C - INS
KLF4 - SEC11A
KLF4 - SPCS1
KLF4 - INS


network 4 (15)	 number of edges : 29
------------------------------

GCG - SEC11A
