		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_XENOBIOTICS


network 1 (0)	 number of edges : 37
------------------------------

CYP1A2 - CYP1A1
CYP2A6 - CYP1A2
CYP3A7 - CYP1A1
CYP3A7 - CYP1A2
CYP2A13 - CYP1A1
CYP2A13 - CYP1A2
CYP2A13 - CYP2A6
CYP2B6 - CYP1A1
CYP2B6 - CYP1A2
CYP2B6 - CYP2A6
CYP2C19 - CYP1A1
CYP2C19 - CYP1A2
CYP2C19 - CYP2A6
CYP2C8 - CYP1A1
CYP2C8 - CYP1A2
CYP2C8 - CYP2A6
CYP2C9 - CYP1A1
CYP2C9 - CYP1A2
CYP2C9 - CYP2A6
CYP2C18 - CYP1A1
CYP2C18 - CYP1A2
CYP2C18 - CYP2A13
CYP2D6 - CYP1A1
CYP2D6 - CYP1A2
CYP2D6 - CYP2A6
CYP2E1 - CYP1A1
CYP2E1 - CYP1A2
CYP2E1 - CYP3A7
CYP2F1 - CYP1A2
CYP2F1 - CYP2A13
CYP2F1 - CYP2B6
CYP3A4 - CYP1A2
CYP3A4 - CYP2A13
CYP3A4 - CYP2C19
CYP3A5 - CYP1A1
CYP3A5 - CYP1A2
CYP3A5 - CYP3A7


network 2 (6)	 number of edges : 37
------------------------------

CYP1A2 - CYP1A1
CYP2A6 - CYP1A2
CYP3A7 - CYP1A1
CYP3A7 - CYP1A2
CYP2A13 - CYP1A1
CYP2A13 - CYP1A2
CYP2A13 - CYP2A6
CYP2B6 - CYP1A1
CYP2B6 - CYP1A2
CYP2B6 - CYP2A6
CYP2C19 - CYP1A1
CYP2C19 - CYP1A2
CYP2C19 - CYP2A6
CYP2C8 - CYP1A1
CYP2C8 - CYP1A2
CYP2C8 - CYP2A6
CYP2C9 - CYP1A1
CYP2C9 - CYP1A2
CYP2C9 - CYP2A6
