		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_RNA_POL_III_TRANSCRIPTION


network 1 (0)	 number of edges : 87
------------------------------

POLR3C - POLR3F
POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
BRF1 - SNAPC5
BRF1 - POLR3F
BRF1 - POLR3C
GTF3C2 - SNAPC5
GTF3C2 - POLR3F
GTF3C2 - LZTS1
NFIB - SNAPC5
NFIB - POLR3F
NFIB - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - LZTS1
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - BRF1
POLR2H - POLR3F
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - POLR3C
BRF2 - POLR3F
BRF2 - LZTS1
BRF2 - POLR3H
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
SSB - POLR3C
SSB - POLR3A
SSB - LZTS1
TBP - SNAPC5
TBP - POLR3F
TBP - POLR3C
ZNF143 - POLR3F
ZNF143 - POLR3C
ZNF143 - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
GTF3C5 - POLR3F
GTF3C5 - LZTS1
GTF3C5 - POLR3H
GTF3C4 - POLR3F
GTF3C4 - LZTS1
GTF3C4 - POLR3H
GTF3C3 - POLR3C
GTF3C3 - POLR3A
GTF3C3 - LZTS1
POLR1C - POLR3H
POLR1C - BRF1
POLR1C - GTF3C2


network 2 (10)	 number of edges : 87
------------------------------

POLR3C - POLR3F
POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
BRF1 - SNAPC5
BRF1 - POLR3F
BRF1 - POLR3C
GTF3C2 - SNAPC5
GTF3C2 - POLR3F
GTF3C2 - LZTS1
NFIB - SNAPC5
NFIB - POLR3F
NFIB - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - LZTS1
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - BRF1
POLR2H - LZTS1
POLR2H - POLR3H
POLR2H - BRF1
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - POLR3C
BRF2 - POLR3F
BRF2 - LZTS1
BRF2 - POLR3H
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
SSB - POLR3C
SSB - POLR3A
SSB - LZTS1
TBP - SNAPC5
TBP - POLR3F
TBP - POLR3C
ZNF143 - POLR3F
ZNF143 - POLR3C
ZNF143 - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
GTF3C5 - POLR3F
GTF3C5 - LZTS1
GTF3C5 - POLR3H
GTF3C4 - POLR3F
GTF3C4 - LZTS1
GTF3C4 - POLR3H
GTF3C3 - POLR3C
GTF3C3 - POLR3A
GTF3C3 - LZTS1
POLR1C - POLR3H
POLR1C - BRF1
POLR1C - GTF3C2


network 3 (19)	 number of edges : 87
------------------------------

POLR3C - POLR3F
