		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER


network 1 (0)	 number of edges : 59
------------------------------

POLR3C - POLR3F
POLR3A - POLR3F
LZTS1 - POLR3F
LZTS1 - POLR3C
LZTS1 - POLR3A
POLR3H - POLR3F
POLR3H - POLR3C
POLR3H - POLR3A
BRF1 - POLR3F
BRF1 - POLR3C
BRF1 - LZTS1
GTF3C2 - POLR3F
GTF3C2 - LZTS1
GTF3C2 - POLR3H
POLR1D - POLR3F
POLR1D - POLR3C
POLR1D - POLR3A
POLR3K - POLR3F
POLR3K - LZTS1
POLR3K - POLR3H
POLR2E - POLR3F
POLR2E - POLR3C
POLR2E - POLR3A
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - BRF1
POLR2H - POLR3F
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - POLR3F
POLR2K - POLR3C
POLR2K - POLR3A
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - POLR3F
POLR3E - LZTS1
POLR3E - POLR3H
POLR3D - POLR3F
POLR3D - POLR3C
POLR3D - LZTS1
TBP - POLR3F
TBP - POLR3C
TBP - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
GTF3C5 - POLR3F
GTF3C5 - LZTS1
GTF3C5 - POLR3H
GTF3C4 - POLR3F
GTF3C4 - LZTS1
GTF3C4 - POLR3H
GTF3C3 - POLR3C
GTF3C3 - POLR3A
GTF3C3 - LZTS1
POLR1C - POLR3H
POLR1C - BRF1
POLR1C - GTF3C2


network 2 (10)	 number of edges : 59
------------------------------

POLR3C - POLR3F
POLR3A - POLR3F
LZTS1 - POLR3F
LZTS1 - POLR3C
LZTS1 - POLR3A
POLR3H - POLR3F
POLR3H - POLR3C
POLR3H - POLR3A
BRF1 - POLR3F
BRF1 - POLR3C
BRF1 - LZTS1
GTF3C2 - POLR3F
GTF3C2 - LZTS1
GTF3C2 - POLR3H
POLR1D - POLR3F
POLR1D - POLR3C
POLR1D - POLR3A
POLR3K - POLR3F
POLR3K - LZTS1
POLR3K - POLR3H
POLR2E - POLR3F
POLR2E - POLR3C
POLR2E - POLR3A
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - BRF1
POLR2H - LZTS1
POLR2H - POLR3H
POLR2H - BRF1
POLR2K - POLR3F
POLR2K - POLR3C
POLR2K - POLR3A
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - POLR3F
POLR3E - LZTS1
POLR3E - POLR3H
POLR3D - POLR3F
POLR3D - POLR3C
POLR3D - LZTS1
TBP - POLR3F
TBP - POLR3C
TBP - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
GTF3C5 - POLR3F
GTF3C5 - LZTS1
GTF3C5 - POLR3H
GTF3C4 - POLR3F
GTF3C4 - LZTS1
GTF3C4 - POLR3H
GTF3C3 - POLR3C
GTF3C3 - POLR3A
GTF3C3 - LZTS1
POLR1C - POLR3H
POLR1C - BRF1
POLR1C - GTF3C2


network 3 (19)	 number of edges : 59
------------------------------

POLR3C - POLR3F
POLR3A - POLR3F
LZTS1 - POLR3F
LZTS1 - POLR3C
LZTS1 - POLR3A
POLR3H - POLR3F
POLR3H - POLR3C
POLR3H - POLR3A
BRF1 - POLR3F
BRF1 - POLR3C
BRF1 - LZTS1
GTF3C2 - POLR3F
GTF3C2 - POLR3C
GTF3C2 - LZTS1
POLR1D - POLR3F
POLR1D - POLR3C
POLR1D - POLR3A
POLR3K - POLR3F
